condition,run,fitness,avg_wait,throughput,total_wait,avg_speed
Baseline,1,366.54930000018044,88.18582089507353,402,35450.69999981956,7.059207327744507
Baseline,2,382.974450000147,85.97983293521007,419,36025.54999985302,7.0230928014747445
Baseline,3,378.21935000021944,84.21464890988028,413,34780.64999978056,7.135038337840837
Baseline,4,390.13925000015655,84.18016431888128,426,35860.74999984343,7.067224075340076
Baseline,5,410.08090000009497,82.59306487674505,447,36919.09999990503,7.0897736383690315
Baseline,6,384.4429500001743,84.65964285672798,420,35557.04999982575,7.0780029751913975
Baseline,7,385.1313500001561,85.19869358632752,421,35868.64999984389,7.0201742128651325
Baseline,8,382.4475000001163,87.23747016678686,419,36552.499999883694,7.003422044371535
Baseline,9,411.4678500002339,77.42634529095537,446,34532.149999766094,7.189376497616242
Baseline,10,389.0011500001485,84.70317647023874,425,35998.84999985147,7.001391409056479
Baseline,11,389.74935000007565,87.23805620591179,427,37250.64999992433,7.0262285351119225
Baseline,12,379.4082000002304,83.55507246321152,414,34591.799999769566,7.074590701314739
Baseline,13,371.65030000018635,86.85429975384197,407,35349.69999981368,7.102880398113551
Baseline,14,383.50970000006174,89.05059382408143,421,37490.29999993828,7.0092661903698055
Baseline,15,388.0759500002111,82.56276595694777,423,34924.049999788906,7.133060381344847
Baseline,16,412.50700000006157,83.31777777764097,450,37492.99999993844,7.061544505503839
Baseline,17,377.72380000013237,87.62367149726477,414,36276.19999986761,7.06103413386107
Baseline,18,375.85040000008155,89.95060532667905,413,37149.59999991845,6.944323156750442
Baseline,19,346.61145000024226,90.25866141668698,381,34388.549999757735,7.053783100132376
Baseline,20,406.7039000001312,81.93250564304462,443,36296.09999986877,7.031301647336663
GA_Optimized,1,396.338150000335,76.13484848406749,429,32661.849999664955,7.077074973023691
GA_Optimized,2,422.1301500003235,70.19790748827418,454,31869.84999967648,7.1692591640495404
GA_Optimized,3,403.7040000003059,76.19221967893397,437,33295.99999969414,7.075865041649147
GA_Optimized,4,418.08405000026977,75.03528761002262,452,33915.94999973023,7.075677092034029
GA_Optimized,5,427.52175000023703,74.62824675273367,462,34478.24999976296,7.051982631696314
GA_Optimized,6,407.30110000033557,74.31568181741913,440,32698.899999664416,7.092719664269561
GA_Optimized,7,410.46650000033316,73.4390519179838,443,32533.499999666823,7.096963610251368
GA_Optimized,8,414.62955000030155,74.48761160646981,448,33370.449999698474,7.078403429783192
GA_Optimized,9,415.8081000002537,75.9819999994362,450,34191.89999974629,7.05456614390807
GA_Optimized,10,403.7991000003114,75.97459954162152,437,33200.899999688605,7.067303100409037
GA_Optimized,11,409.99680000026467,76.58378378318763,444,34003.199999735305,7.041699067496251
GA_Optimized,12,404.10340000030936,71.0266666659555,435,30896.599999690643,7.183911108004311
GA_Optimized,13,398.6101500003004,77.29131944374909,432,33389.8499996996,7.081209042001794
GA_Optimized,14,418.95640000032057,73.10530973380409,452,33043.59999967945,7.160460359102415
GA_Optimized,15,408.0634500002686,76.7795248862702,442,33936.549999731425,7.0565160725812985
GA_Optimized,16,428.93955000020316,75.56131465473457,464,35060.449999796845,7.06454672864172
GA_Optimized,17,411.5725500002982,75.1178651678692,445,33427.44999970179,7.119714954950766
GA_Optimized,18,422.33445000028433,73.82796052569222,456,33665.54999971565,7.087005926605966
GA_Optimized,19,381.9326500002973,72.97900485364735,412,30067.34999970271,7.184360143879777
GA_Optimized,20,426.88600000031647,71.98695652105118,460,33113.99999968355,7.107473440387221
